# Copyright 2020, General Electric Company. All rights reserved. See https://github.com/xcist/code/blob/master/LICENSE
# Spectrum is in unit: photons/cm^2/mAs at 1-m distance

260
95.500000,450206.437429
96.000000,441592.005077
96.500000,433069.305504
97.000000,424636.983292
97.500000,416293.683024
98.000000,408038.049285
98.500000,399868.726658
99.000000,391784.359725
99.500000,383783.593070
100.000000,375865.071276
100.500000,368027.438927
101.000000,360269.340605
101.500000,352589.420895
102.000000,344986.324379
102.500000,337458.695641
103.000000,330005.179264
103.500000,322624.419832
104.000000,315315.061927
104.500000,308075.750133
105.000000,300905.129033
105.500000,293801.843211
106.000000,286764.537249
106.500000,279791.855732
107.000000,272882.443242
107.500000,266034.944363
108.000000,259248.003677
108.500000,252520.265769
109.000000,245850.375222
109.500000,239236.976619
110.000000,232678.714542
110.500000,226174.233576
111.000000,219722.178304
111.500000,213321.193309
112.000000,206969.923175
112.500000,200667.012484
113.000000,194411.105819
113.500000,188200.847766
114.000000,182034.882905
114.500000,175911.855822
115.000000,169830.411098
115.500000,163789.193319
116.000000,157786.847065
116.500000,151822.016922
117.000000,145893.347472
117.500000,139999.483299
118.000000,134139.068986
118.500000,128310.749115
119.000000,122513.168272
119.500000,116744.971038
120.000000,111004.801997
120.500000,105291.305732
121.000000,99603.126828
121.500000,93938.909866
122.000000,88297.299430
122.500000,82676.940104
123.000000,77076.476471
123.500000,71494.553114
124.000000,65929.814616
124.500000,60380.905561
125.000000,54846.470532
125.500000,49325.154113
126.000000,43815.600886
126.500000,38316.455435
127.000000,32826.362343
127.500000,27343.966194
128.000000,21867.911570
128.500000,16396.843056
129.000000,10929.405234
129.500000,5464.242687
130.000000,0.000000
